"","Phase","Behavior","Mean","StdDev","SE"
"19","Pre","FHD",0.298660683265306,0.253094227186902,0.0361563181695575
"20","Post (0-3)","FHD",0.359957534875,0.344721316844524,0.0703659441441143
"21","Post (4+)","FHD",0.396607638514563,0.260249376537747,0.0256431330326646
"16","Pre","FHU",0.129296736122449,0.157641614063622,0.0225202305805174
"17","Post (0-3)","FHU",0.115934717375,0.225151796535439,0.0459589180152302
"18","Post (4+)","FHU",0.185595057864078,0.212948971345709,0.0209824856221896
"10","Pre","Headshaking",0.042872747244898,0.064082431554689,0.00915463307924128
"11","Post (0-3)","Headshaking",0.064374032125,0.0854585538009525,0.0174441542473765
"12","Post (4+)","Headshaking",0.0274867206213592,0.0535064904821234,0.00527215116438553
"7","Pre","Laying",0.0487852283673469,0.187342225403641,0.026763175057663
"8","Post (0-3)","Laying",0.0697916666666667,0.193505865356935,0.0394992193633496
"9","Post (4+)","Laying",0.0038065356407767,0.0320336764078655,0.00315637192519106
"22","Pre","Scratch",0.0749547039795918,0.0970334993420687,0.0138619284774384
"23","Post (0-3)","Scratch",0.0355733400833333,0.10526139346245,0.0214863919664445
"24","Post (4+)","Scratch",0.0271519291747573,0.072967081614774,0.00718966018572404
"4","Pre","SHD",0.0451310373265306,0.0900616545976019,0.0128659506568003
"5","Post (0-3)","SHD",0.0114583333333333,0.0353393230498716,0.00721360911063014
"6","Post (4+)","SHD",0.0153291140097087,0.0439924328463046,0.00433470321011404
"1","Pre","SHU",0.263441072938776,0.205479637954159,0.0293542339934513
"2","Post (0-3)","SHU",0.220586527291667,0.215308727717985,0.0439497100064084
"3","Post (4+)","SHU",0.198093918912621,0.176313391162754,0.0173726746445095
"25","Pre","Social",0.0504292193265306,0.0637024682578458,0.00910035260826369
"26","Post (0-3)","Social",0.022688008125,0.0472232821677919,0.00963941210754684
"27","Post (4+)","Social",0.0128285579029126,0.027897221479888,0.00274879491035675
"13","Pre","Walking",0.0537878787878788,0.165137396880552,0.0235910566972217
"14","Post (0-3)","Walking",0.08817750675,0.121972480586136,0.0248975283414634
"15","Post (4+)","Walking",0.129702469126214,0.124326387713229,0.012250242986225
